Date / Time,City,State,Shape,Duration,Summary,Posted
9/13/14 19:46,Ignacio,CO,Fireball,8 minutes,Orange-reddish glowing fireball seen in Southern sky.,9/18/14
9/6/14 22:30,Ken Caryl,CO,Circle,60 seconds,"Red orb seen in Ken Caryl County @ 22:30, hovering in the north sky, then moving quickly to the North and vanished.",9/10/14
9/3/14 21:15,Pueblo/El Paso Counties,CO,Light,09,"Lights floating above ground from Pueblo County, Colorado",9/10/14
9/3/14 20:00,Greeley,CO,Light,<5 seconds,"Large, fast moving green light disappears abruptly.",9/10/14
9/2/14 22:35,Heart Lake (in the Flat Tops),CO,Light,~2 minutes,Bright light seen in remote area of CO blinked off.  ((NUFORC Note:  Report submitted by MUFON Field Investigator.  PD)),10/3/14
9/2/14 22:35,Fort Collins,CO,Teardrop,1 minute,Super fast teardrop shape with tail moving south to north with no sound at all.  ((NUFORC Note:  Space debris re-entry.  PD)),9/5/14
9/2/14 21:30,Leadville,CO,Circle,10 seconds,"We were camping near Mt. Massive near Leadville, CO.  Bright orange/amber orb appeared from the southwest, traveling towards the north.",9/10/14
9/1/14 05:00,Silverton,CO,Other,~20 minutes,"Silent, stationary (maybe) object; open V shape, tube-like arms/wings of pulsating light.",9/5/14
8/25/14 13:00,Gunnison,CO,Other,5 minutes,A Jet with smaller aircraft attached to both wings and tail. I do NOT believe it was a refueling craft.,8/29/14
8/24/14 20:30,Antonito,CO,Sphere,5 minutes,Oddly moving orb near Platoro Lake.,8/29/14
8/23/14 01:00,Pueblo,CO,Fireball,3 minutes,"Three large fireballs hover in place just north of Pueblo, CO",8/29/14
8/22/14 21:30,Colorado Springs,CO,Light,45 seconds,Object stopped then flashed a bright blue light and went north at a very high speed.,8/29/14
8/22/14 02:45,La Junta,CO,Other,15 minutes,My dog woke me up I went to let him out but he was acting strange I was hearing a loud static sound and voices with screams and looked,3/29/18
8/21/14 00:30,Falcon,CO,Other,3 hours,Loud house shaking booms.,8/22/14
8/18/14 22:00,Arvada,CO,Oval,30 minutes,Mysterious lights moving back/forth and up/down in the treeline.,8/22/14
8/16/14 21:23,Highlands Ranch,CO,Changing,15 minutes,Orange orb splits into four colors and moves together in the sky in various directions.,8/22/14
8/16/14 20:00,Greeley,CO,Circle,30,8 orange balls of light,8/22/14
8/16/14 17:30,Great Sand Dunes National Park,CO,Circle,1 minute,A white ball floating in the sky in southern Colorado.,11/26/14
8/16/14 02:00,Hanover,CO,Unknown,5 seconds,Huge single flash that lit the darkness like it was day time.,8/22/14
8/15/14 22:45,Greeley,CO,Triangle,10,This was like nothing I have seen before,8/22/14
8/15/14 09:05,Littleton,CO,Sphere,75 minutes,"Bright white object in the sky above Littleton, Colorado, around 0905, 15 August 2014.",8/22/14
8/14/14 22:50,Wolcott (near),CO,Light,30 minutes,"Four lighted objects seen near Wolcott, CO, Eagle County.  ((NUFORC Note:  Report submitted by MUFON/CO.  PD))",9/25/14
8/11/14 00:30,Highlands Ranch,CO,Unknown,30-40 minutes,Extreme radio interference and no cell phone service available.,8/15/14
8/6/14 20:40,Colorado Springs,CO,Sphere,5 minutes,"Looked like a star, but wasn't.",8/8/14
8/3/14 14:30,Castle Rock,CO,Circle,4-5 minutes,"Six objects in the sky in Castle Rock, CO.",8/8/14
8/2/14 23:34,Superior,CO,Circle,4 minutes,"Bright red ball of light appeared in the sky, traveled for a bit, then jetted upward and disappeared.",8/8/14
8/2/14 22:45,Denver,CO,Oval,60 seconds,"Two bright orange orbs in Northwest Denver synchronized, traveling northeasterly above tree line, then disappeared.",8/8/14
8/2/14 22:00,Northglenn,CO,Light,4 minutes,"White light, no sound stopped and changed direction. brighter then stars it passed.",8/8/14
7/31/14 22:45,Loveland,CO,Unknown,5 seconds,((HOAX??))  Craft with four white lights.,8/8/14
7/22/14 23:59,Aurora,CO,Sphere,1 second,"Black orb flying incredibly low and fast at night in South East Aurora, CO, on July 22, 2014.",8/1/14
7/22/14 23:35,Louisville,CO,Flash,Flash,"Single flash of light, point light source, very bright, like a wink, straight overhead.",7/26/14
7/22/14 01:30,Larkspur,CO,Other,5 seconds,Loud noise and object.,7/26/14
7/21/14 22:30,Westminster 104th,CO,Light,2 minutes,Helicopter closely following a circular white orb,7/26/14
7/21/14 21:35,Aurora,CO,Disk,3 minutes,Quiet octagon craft flying at low altitude over Aurora.,7/26/14
7/20/14 03:00,Grand Junction,CO,Light,~6 minutes,Slow-moving orb of light over Grand Junction.,9/18/14
7/18/14 22:00,Glenwood Springs,CO,Triangle,1 minute,"W/ 2 friends, saw something which looked like a satellite, then 2 more appeared right behind and formed a triangular shape.",7/20/14
7/15/14 21:45,Denver,CO,Light,15 minutes,15-25 light orbs over southwestern Denver.,7/20/14
7/15/14 21:45,Denver,CO,Unknown,20 minutes,At least 50 solid white lights traveling maybe more.,7/20/14
7/5/14 23:00,Pueblo West,CO,Light,10-20 minutes,"10-15 very bright lights, stationary and some moving very slowly, up, down, right and left.",7/11/14
7/4/14 23:30,Boulder/Lafayette,CO,Formation,5-10 minutes,"Formation of 4. Greenish white; Flying ""V"" & pyramid shape displayed.",7/5/14
7/4/14 22:30,Aurora,CO,Formation,10 minutes,White dots over Aurora.,7/5/14
